year,region,yhat,yhat_lower,yhat_upper
2005,East,10991.93,10863.9,11112.78
2006,East,10725.61,10602.03,10848.7
2007,East,10456.73,10337.31,10586.62
2008,East,10185.52,10058.48,10303.18
2009,East,9962.55,9840.47,10091.95
2010,East,9829.01,9698.74,9945.9
2011,East,9693.08,9565.58,9811.86
2012,East,9623.18,9490.14,9746.29
2013,East,9602.0,9476.78,9728.41
2014,East,9536.99,9413.09,9657.82
2015,East,9469.2,9355.06,9599.01
2016,East,9306.83,9179.76,9418.24
2017,East,9192.8,9063.45,9308.89
2018,East,8971.68,8845.98,9090.38
2019,East,8743.78,8619.05,8868.73
2020,East,8513.51,8399.6,8631.93
2021,East,8331.58,8207.16,8461.65
2022,East,8106.27,7980.08,8237.92
2023,East,7878.4,7762.67,7999.41
2024,East,7648.2,7525.62,7776.47
2024,East,7415.92,7292.19,7539.05
2025,East,7181.82,7043.29,7313.84
2026,East,6946.13,6800.05,7095.56
2027,East,6709.1,6528.33,6886.93
2028,East,6550.61,6342.1,6740.12
2005,East Midlands,11552.42,11427.53,11677.05
2006,East Midlands,11168.69,11043.43,11297.08
2007,East Midlands,10786.32,10661.81,10908.3
2008,East Midlands,10405.4,10283.33,10521.64
2009,East Midlands,10120.32,9987.83,10248.16
2010,East Midlands,9913.89,9791.51,10035.19
2011,East Midlands,9709.56,9574.24,9834.75
2012,East Midlands,9665.11,9545.57,9792.58
2013,East Midlands,9717.43,9592.44,9838.78
2014,East Midlands,9670.17,9546.53,9793.72
2015,East Midlands,9624.27,9493.17,9741.85
2016,East Midlands,9470.11,9343.92,9591.79
2017,East Midlands,9412.25,9283.4,9533.88
2018,East Midlands,9177.56,9058.64,9300.52
2019,East Midlands,8943.84,8820.34,9073.56
2020,East Midlands,8711.58,8579.86,8840.37
2021,East Midlands,8575.57,8460.74,8714.63
2022,East Midlands,8340.51,8213.38,8462.26
2023,East Midlands,8106.8,7976.57,8228.19
2024,East Midlands,7874.54,7743.61,7992.87
2024,East Midlands,7643.84,7515.65,7771.95
2025,East Midlands,7414.79,7264.77,7551.43
2026,East Midlands,7187.48,7017.92,7364.94
2027,East Midlands,6961.99,6747.71,7173.66
2028,East Midlands,6806.81,6530.51,7095.33
2005,England,11158.57,11037.09,11276.69
2006,England,10917.54,10798.65,11041.14
2007,England,10633.23,10514.33,10748.4
2008,England,10305.72,10182.96,10427.32
2009,England,10033.35,9910.22,10149.05
2010,England,9914.99,9797.69,10036.21
2011,England,9753.71,9638.71,9871.99
2012,England,9635.18,9515.7,9753.67
2013,England,9572.35,9455.8,9692.12
2014,England,9540.3,9422.72,9670.48
2015,England,9464.79,9345.84,9584.97
2016,England,9265.95,9149.42,9391.36
2017,England,9122.57,8992.38,9244.34
2018,England,8922.52,8799.99,9038.44
2019,England,8678.43,8555.35,8792.86
2020,England,8391.15,8275.26,8514.15
2021,England,8209.99,8095.62,8330.7
2022,England,8059.92,7932.1,8179.65
2023,England,7866.58,7743.94,7979.21
2024,England,7630.03,7505.37,7751.47
